,Anon Student Id,Answer,Axes,Body,Choose-,Choose-Equation,Choose-Principle,Choose-Sought,DELETION,Equation,Explain-Further,NextStepHelp,Simplify,Solve,Variable,Vector,Whats-Wrong
0,Stu_11eed491c49d08923078a99c3689faa6,0.3445378151260504,0.5795454545454546,0.488,0.41935483870967744,0.02564102564102564,0.5486725663716814,0.6209677419354839,0.25149700598802394,0.2154696132596685,0.6646398503274088,0.6077015643802648,0.010638297872340425,0.5367647058823529,0.3983739837398374,0.34316617502458213,0.26744186046511625
0,Stu_16d36e81d1d34630d27d8fd8b9d99d53,0.42016806722689076,0.6477272727272727,0.56,0.6129032258064516,0.0,0.6814159292035398,0.7016129032258065,0.3502994011976048,0.30179558011049723,1.0,0.9843561973525873,0.0,0.5955882352941176,0.5745257452574526,0.5063913470993117,0.1434108527131783
0,Stu_1712d2d13ed773fddf0c9a59ad099b21,0.0,0.03409090909090909,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.003274087932647334,0.0012033694344163659,0.0,0.0,0.0,0.01376597836774828,0.015503875968992248
0,Stu_18d58be83dc070054ca65038cc2293b4,0.28991596638655465,0.38636363636363635,0.256,0.2903225806451613,0.0,0.2920353982300885,0.25,0.10479041916167664,0.10842541436464088,0.30028063610851263,0.2972322503008424,0.0,0.19117647058823528,0.1842818428184282,0.15339233038348082,0.13178294573643412
0,Stu_1a24bc4f1db0936c28f45176d3c425a7,0.06302521008403361,0.45454545454545453,0.448,0.03225806451612903,0.0,0.40707964601769914,0.3387096774193548,0.2634730538922156,0.3197513812154696,0.2039289055191768,0.2972322503008424,0.0,0.21323529411764705,0.43360433604336046,0.22713864306784662,0.35658914728682173
0,Stu_1db2de9e075e4283c309c2b32ac8efea,0.2689075630252101,0.17045454545454544,0.12,0.0,0.0,0.0,0.0,0.059880239520958084,0.04765193370165746,0.002806361085126286,0.0012033694344163659,0.0,0.04779411764705882,0.02710027100271003,0.07079646017699115,0.03488372093023256
0,Stu_2542d77cabfb681268d0ee3d36c17dd9,0.0,0.022727272727272728,0.024,0.0,0.02564102564102564,0.0,0.0,0.005988023952095809,0.007596685082872928,0.0004677268475210477,0.0012033694344163659,0.0,0.003676470588235294,0.0027100271002710027,0.010816125860373648,0.015503875968992248
0,Stu_27a2f0ca42ee44567c30076837f53f48,0.3277310924369748,0.09090909090909091,0.04,0.0,0.0,0.0,0.0,0.008982035928143712,0.020027624309392266,0.001403180542563143,0.0012033694344163659,0.0,0.04044117647058824,0.0,0.00688298918387414,0.003875968992248062
0,Stu_2adf06cfac379da9df00c0932ff57815,0.38235294117647056,0.6590909090909091,0.712,0.25806451612903225,0.15384615384615385,0.5752212389380531,0.5,0.4221556886227545,0.32734806629834257,0.31898971000935455,0.4296028880866426,0.0,0.6985294117647058,0.5826558265582655,0.3647984267453294,0.4186046511627907
0,Stu_2f0f2249b084a148d46b1d8526c7633e,0.6134453781512605,0.5568181818181818,0.52,0.5483870967741935,0.0,0.6548672566371682,0.717741935483871,0.3263473053892216,0.2562154696132597,0.8185219831618334,0.8002406738868832,0.0,0.5147058823529411,0.5501355013550135,0.295968534906588,0.313953488372093
